facility_address,lat,lng,street_address
2817 W Glenwood AVE,39.98442589,-75.18076615,2817 W GLENWOOD AVE
2200 CHESTNUT ST,39.95216724,-75.17767825,2200 CHESTNUT ST
6701 N 13TH ST,40.05478123,-75.13900434,6701 N 13TH ST
2000 N 7th St,39.98246704,-75.14627714,2000 N 7TH ST
120 W Cambria ST,39.99405386,-75.13103966,120 W CAMBRIA ST
2300 MASTER ST,39.97607791,-75.17430285,2300 MASTER ST
4001 L ST,40.00776521,-75.10280872,4001 L ST
500 Rhawn ST,40.07633123,-75.08166798,500 RHAWN ST
7350 BINGHAM ST,40.06216519,-75.08077592,7350 BINGHAM ST
6501 LIMEKILN PK,40.05363519,-75.15214199,6501 LIMEKILN PIKE
2150 W Lehigh AVE,39.99485648,-75.16685169,2150 W LEHIGH AVE
1300 E PALMER ST,39.97259627,-75.12996179,1300 E PALMER ST
6000 RIDGE AVE,40.03162636,-75.21315417,6000 RIDGE AVE
5898 LANCASTER AVE,39.9819205,-75.23899536,5898 LANCASTER AVE
2875 WELSH RD,40.06252827,-75.02815042,2875 WELSH RD
8500 PICKERING AVE,40.08137955,-75.1755806,8500 PICKERING AVE
6501 CHEW AVE,40.05436773,-75.17790395,6501 CHEW AVE
550 W Master ST,39.97277012,-75.14570672,550 MASTER ST
8118 FRANKFORD AVE,40.04330119,-75.0247669,8118 FRANKFORD AVE
6101 N GRATZ ST,40.047665,-75.14926127,6101 N GRATZ ST
6900 SUMMERDALE AVE,40.04893285,-75.07658424,6900 SUMMERDALE AVE
5700 WILLOWS AVE,39.94090823,-75.23237316,5700 WILLOWS AVE
2300 Master ST,39.97607791,-75.17430285,2300 MASTER ST
1700 LINDLEY AVE,40.0313089,-75.15186686,1700 LINDLEY AVE
201 E SALAIGNAC ST,40.02218091,-75.20658093,201 SALAIGNAC ST
5116 PULASKI AVE,40.02480875,-75.17233198,5116 PULASKI AVE
4400-22 N BROAD ST,40.02047216,-75.14928756,4400-22 N BROAD ST
2300 W CAMBRIA ST,39.9989267,-75.16878364,2300 W CAMBRIA ST
2331 N 4TH ST,39.98668291,-75.13920059,2331 N 4TH ST
5100 North 3RD ST,40.02845565,-75.12933341,5100 N 3RD ST
5301 North WATER ST,40.03105699,-75.12131768,5301 N WATER ST
5100 N 3RD ST,40.02845565,-75.12933341,5100 N 3RD ST
1946 E Sergeant ST,39.98619885,-75.12678723,1946 E SERGEANT ST
600 W HUNTING PARK AVE,40.01533737,-75.13757995,600 W HUNTING PARK AVE
900 W OREGON AVE,39.91518473,-75.16320002,900 OREGON AVE
1835 S 9TH ST,39.92590403,-75.16071053,1835 S 9TH ST
4125 LUDLOW ST,39.95677606,-75.20521387,4125 LUDLOW ST
5925 MALVERN AVE,39.9856299,-75.24275739,5925 MALVERN AVE
2501 CORAL ST,39.98474819,-75.12673292,2501 CORAL ST
601 FAIRMOUNT AVE,39.96413867,-75.14811231,601 FAIRMOUNT AVE
1800 SNYDER AVE,39.92522283,-75.17637758,1800 SNYDER AVE
2075 E CUMBERLAND ST,39.98440101,-75.12617827,2075 E CUMBERLAND ST
1601 N 28TH ST,39.98081603,-75.18006555,1601 N 28TH ST
2118-60 N 13TH ST,39.9854203,-75.15465225,2118-60 N 13TH ST
6722 LANSDOWNE AVE,39.97412589,-75.25446441,6722 LANSDOWNE AVE
2600-24 W THOMPSON ST,39.97541016,-75.17895546,2600 W THOMPSON ST
1621 N 54TH ST,39.97796729,-75.23000158,1621 N 54TH ST
199 E TABOR RD,40.03126916,-75.12033911,199 E TABOR RD
5100 GREENWAY AVE,39.94011728,-75.21640764,5100 GREENWAY AVE
1621 N 54th ST,39.97796729,-75.23000158,1621 N 54TH ST
735 E Westmoreland ST,39.99878517,-75.11600969,735 E WESTMORELAND ST
8300 CASTOR AVE,40.06657161,-75.05241476,8300 CASTOR AVE
540 Green ST,39.9616496,-75.1551141,
4224 N Front ST,40.01540643,-75.12665045,4224 N FRONT ST
2150 W Lehigh Ave,39.99485648,-75.16685169,2150 W LEHIGH AVE
2300 W Cambria ST,39.9989267,-75.16878364,2300 W CAMBRIA ST
5101 C ST,40.02686823,-75.1172596,5101 C ST
4700 Locust St,39.95458127,-75.21593532,4700 LOCUST ST
5640 Spruce St,39.95581158,-75.23594153,5640 SPRUCE ST
5925 Malvern Ave,39.9856299,-75.24275739,5925 MALVERN AVE
1750 N 12th St,39.97924159,-75.15425126,1750 N 12TH ST
5200 Pine St,39.95332691,-75.22685833,5200 PINE ST
1100 Devereaux AVE,40.03918393,-75.08386687,1100 DEVEREAUX AVE
6100 STENTON AVE,40.05765393,-75.16218404,6100 STENTON AVE
900 W Oregon Ave,39.91518473,-75.16320002,900 OREGON AVE
1213 S 12th St,39.93501803,-75.16354317,1213 S 12TH ST
